,trial_id,State_1,$images_1,noun,overspec_n,overspec_n_singleton,overspec_n_pair,total_n,singleton_total_n,pair_total_n
183,139,state_B,naan_whole.jpg,naan,0,0,0,16,8,8.0
184,140,state_A,sugarpacket_ripped.jpg,sugarpacket,4,1,3,16,8,8.0
185,140,state_B,sugarpacket_whole.jpg,sugarpacket,0,0,0,16,8,8.0
186,141,state_A,notepad_ripped.jpg,notepad,7,3,4,16,8,8.0
187,141,state_B,notepad_whole.jpg,notepad,0,0,0,16,8,8.0
188,142,state_A,chipbag_ripped.jpg,chipbag,3,3,0,15,7,8.0
189,142,state_B,chipbag_whole.jpg,chipbag,0,0,0,16,8,8.0
190,143,state_A,jar_empty.jpg,jar,2,2,0,15,8,7.0
191,143,state_B,jar_full.jpg,jar,2,1,1,14,6,8.0
192,144,state_A,garbagecan_empty.jpg,garbagecan,0,0,0,14,6,8.0
193,144,state_B,garbagecan_full.jpg,garbagecan,2,1,1,12,5,7.0
194,145,state_A,hamper_empty.jpg,hamper,0,0,0,13,7,6.0
195,145,state_B,hamper_full.jpg,hamper,1,1,0,15,7,8.0
196,146,state_A,eggcarton_empty.jpg,eggcarton,4,3,1,14,6,8.0
197,146,state_B,eggcarton_full.jpg,eggcarton,0,0,0,16,8,8.0
198,147,state_A,wineglass_empty.jpg,wineglass,1,0,1,15,7,8.0
199,147,state_B,wineglass_full.jpg,wineglass,1,1,0,16,8,8.0
200,148,state_A,shoppingcart_empty.jpg,shoppingcart,0,0,0,15,8,7.0
201,148,state_B,shoppingcart_full.jpg,shoppingcart,3,2,1,16,8,8.0
